QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03
Q00.2	Awareness of existence UNFPOS	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	Yes	Yes	No
Q00.2	Awareness of existence UNFPOS	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	Yes	Yes	N/A
Q00.2	Awareness of existence UNFPOS	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	Yes	Yes	N/A
Q00.2	Awareness of existence UNFPOS	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	Yes	Yes	N/A
Q00.2	Awareness of existence UNFPOS	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	Yes	No	Yes
Q00.2	Awareness of existence UNFPOS	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	Yes	No	N/A
Q00.2	Awareness of existence UNFPOS	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	Yes	N/A	N/A
Q00.2	Awareness of existence UNFPOS	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	Yes	Yes	Yes
Q00.2	Awareness of existence UNFPOS	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	Yes	Yes	N/A
Q00.2	Awareness of existence UNFPOS	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	Yes	N/A	Yes
Q00.2	Awareness of existence UNFPOS	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	Yes	N/A	Yes
Q00.2	Awareness of existence UNFPOS	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	Yes	Yes	Yes
