QuestionID	QuestionText	BlockID	BlockText	Answer	RegionName	N	Percentage
Q01.4b	Time span of the calendar	R01		13-24 months	Europe	5	5
Q01.4b	Time span of the calendar	R01		4-12 months	Africa	9	10
Q01.4b	Time span of the calendar	R01		4-12 months	Americas	9	10
Q01.4b	Time span of the calendar	R01		4-12 months	Oceania	2	2
Q01.4b	Time span of the calendar	R01		4-12 months	Europe	25	27
Q01.4b	Time span of the calendar	R01			Asia	6	6
Q01.4b	Time span of the calendar	R01			Africa	7	8
Q01.4b	Time span of the calendar	R01		More than 2 years	Asia	2	2
Q01.4b	Time span of the calendar	R01		13-24 months	Americas	1	1
Q01.4b	Time span of the calendar	R01		13-24 months	Africa	1	1
Q01.4b	Time span of the calendar	R01		4-12 months	Asia	12	13
Q01.4b	Time span of the calendar	R01			Europe	1	1
Q01.4b	Time span of the calendar	R01			Americas	1	1
Q01.4b	Time span of the calendar	R01		Annual	Europe	1	1
Q01.4b	Time span of the calendar	R01		1-3 months	Asia	3	3
Q01.4b	Time span of the calendar	R01		More than 2 years	Europe	2	2
Q01.4b	Time span of the calendar	R01			Oceania	2	2
Q01.4b	Time span of the calendar	R01		Anual	Americas	1	1
Q01.4b	Time span of the calendar	R01		6-18 months	Americas	1	1
Q01.4b	Time span of the calendar	R01		13-24 months	Asia	1	1
Q01.4b	Time span of the calendar	R01		1-12 months	Europe	1	1
