QuestionID	QuestionText	BlockID	BlockText	Answer	Africa.N	Americas.N	Asia.N	Europe.N	Oceania.N	TOTAL.N	Africa.P	Americas.P	Asia.P	Europe.P	Oceania.P	TOTAL.P
Q00.4	How UNFPOS are communicated to raise awareness at the national level	R01	UNFPOS are mentioned in reports, strategy and policy papers, publications	1	15	11	18	28	4	76	88.2352941176471	84.6153846153846	75	80	100	81.7204301075269
Q00.4	How UNFPOS are communicated to raise awareness at the national level	R02	UNFPOS are discussed in meetings and events, such as the World Statistics Day	1	12	12	19	16	3	62	70.5882352941177	92.3076923076923	79.1666666666667	45.7142857142857	75	66.6666666666667
Q00.4	How UNFPOS are communicated to raise awareness at the national level	R03	None of the above	1				2		2				5.71428571428571		2.1505376344086
Q00.4	How UNFPOS are communicated to raise awareness at the national level	R05	Other	1	1	1		3		5	5.88235294117647	7.69230769230769		8.57142857142857		5.37634408602151
Q00.4	How UNFPOS are communicated to raise awareness at the national level	R06	Other (detail)	- provisions on UNOFPS are made in the law on official statistics, developed based on GLOS (http://www.statistica.md/public/files/despre/legi_hotariri/Law_on_official_statistics__2017.pdf, article 5);- mentioned in annual plans and NSDS (http://www.statis				1		1				2.85714285714286		1.0752688172043
Q00.4	How UNFPOS are communicated to raise awareness at the national level	R06	Other (detail)	Alot of the concepts follow our "best practices" applications, which is agency-specific.		1				1		7.69230769230769				1.0752688172043
Q00.4	How UNFPOS are communicated to raise awareness at the national level	R06	Other (detail)	During presentation and discussions reference is always made to the UNFPoS	1					1	5.88235294117647					1.0752688172043
Q00.4	How UNFPOS are communicated to raise awareness at the national level	R06	Other (detail)	European Code of practice is very similar to UNFPOS and is a key issue in all policy within the organization.				1		1				2.85714285714286		1.0752688172043
Q00.4	How UNFPOS are communicated to raise awareness at the national level	R06	Other (detail)	In addition information is provided during official events such as the national conferences of statistics organised by Istat every two years or during training sessions devoted to high level officials of the statistical offices of bodies belonging to the NSS.				1		1				2.85714285714286		1.0752688172043
Q00.4	How UNFPOS are communicated to raise awareness at the national level	R06	Other (detail)	Integral part of the principles of the National Statistical System				1		1				2.85714285714286		1.0752688172043
