QuestionID	QuestionText	BlockID	BlockText	Answer	RegionName	N	Percentage
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	0	Europe	35	38
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	1	Africa	12	13
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	0	Americas	13	14
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	0	Oceania	4	4
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	0	Asia	24	26
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R01	African Information Highway	0	Africa	5	5
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	1	Europe	10	11
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	1	Africa	6	6
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	0	Americas	10	11
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	0	Oceania	4	4
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	0	Europe	25	27
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	0	Asia	14	15
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	0	Africa	11	12
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	1	Americas	3	3
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R02	ArcGIS	1	Asia	10	11
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	0	Europe	31	33
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	1	Africa	6	6
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	0	Americas	13	14
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	0	Oceania	4	4
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	0	Asia	19	20
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	0	Africa	11	12
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	1	Europe	4	4
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R03	Country STAT	1	Asia	5	5
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	0	Europe	32	34
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	0	Africa	11	12
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	0	Americas	11	12
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	0	Oceania	3	3
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	1	Europe	3	3
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	0	Asia	18	19
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	1	Africa	6	6
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	1	Americas	2	2
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	1	Asia	6	6
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R04	DevInfo	1	Oceania	1	1
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R05	Eurostat web portal	0	Europe	13	14
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R05	Eurostat web portal	0	Africa	17	18
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R05	Eurostat web portal	0	Americas	13	14
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R05	Eurostat web portal	0	Oceania	4	4
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R05	Eurostat web portal	1	Europe	22	24
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R05	Eurostat web portal	0	Asia	21	23
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R05	Eurostat web portal	1	Asia	3	3
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R06	IMIS	0	Europe	35	38
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R06	IMIS	0	Africa	12	13
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R06	IMIS	0	Americas	13	14
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R06	IMIS	0	Oceania	4	4
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R06	IMIS	0	Asia	24	26
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R06	IMIS	1	Africa	5	5
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R07	NADA	0	Europe	35	38
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R07	NADA	0	Africa	9	10
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R07	NADA	0	Americas	9	10
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R07	NADA	0	Oceania	3	3
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R07	NADA	0	Asia	17	18
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R07	NADA	1	Africa	8	9
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R07	NADA	1	Americas	4	4
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R07	NADA	1	Asia	7	8
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R07	NADA	1	Oceania	1	1
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R08	OECD.Stat	0	Europe	21	23
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R08	OECD.Stat	0	Africa	15	16
