QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06
Q00.4	How UNFPOS are communicated to raise awareness at the national level	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	1	1	0	0	0	The UNFPOS is cited under Rule 3, Article 4, of the "Implementing Rules and Regulations of Republic Act No. 10625, Otherwise Known as the Philippine Statistical Act of 2013."
Q00.4	How UNFPOS are communicated to raise awareness at the national level	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	1	0	0	0	0	Policy paper is presented on NSO webpage:http://bip.stat.gov.pl/dzialalnosc-statystyki-publicznej/jakosc-w-statystyce/rekomendacje-miedzynarodowe/
Q00.4	How UNFPOS are communicated to raise awareness at the national level	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	1	1	0	0	0	Law on Official Statistics at https://www.armstat.am/file/doc/99509428.pdfUNFPOS are posted on the website under the Heading Key Documents at https://www.armstat.am/en/?nid=69 (in English and ArmenianThe current three year statistical program that is a Law and posted on the website at https://www.armstat.am/file/doc/99498783.pdfNew five year Statistical Program for 2019-2023 that is posted on the website at https://www.armstat.am/file/draft3/2019-2023-hngamya.pdf (Armenian version, we are translating it into English).INFORMATION DISSEMINATION AND COMMUNICATION POLICY paper at https://www.armstat.am/file/doc/99503388.pdf.Quality Policy paper, where the quality system is based on the 15 principles of the European Statistics Code of Practice at https://www.armstat.am/file/doc/99509313.pdf. CATALOGUE of Statistical Publications 2018 at https://www.armstat.am/file/article/catalogue_2018_00.pdf, Statistical Program for 2019-2023 that is a strategic development document (in Armenian, we are translating into English) at https://www.armstat.am/file/draft3/2019-2023-hngamya.pdf. INFORMATION DISSEMINATION AND COMMUNICATION POLICY paper at https://www.armstat.am/file/doc/99503388.pdf. Quality Policypaper, were the quality system is based on the 15 principles of the European Statistics Code of Practice at https://www.armstat.am/file/doc/99509313.pdf. CATALOGUE of Statistical Publications for 2018 at https://www.armstat.am/file/article/catalogue_2018_00.pdf.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	1	1	0	0	0	- provisions on UNOFPS are made in the law on official statistics, developed based on GLOS (http://www.statistica.md/public/files/despre/legi_hotariri/Law_on_official_statistics__2017.pdf, article 5);- mentioned in annual plans and NSDS (http://www.statis
Q00.4	How UNFPOS are communicated to raise awareness at the national level	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	0	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	1	0	0	0	1	Other: Les UNFPOS sont enseignés à  l'Ecole nationale de statistique et d'analyse économique.  Loi nÂ° 2004-21 du 21 juillet 2004 portant organisation des activités statistiques Article 4 : Dans l'exercice de leurs missions de production et de diffusion des données statistiques, les composantes du système statistique national se conforment aux principes fondamentaux de la statistique officielle, notamment le respect du secret statistique ainsi que celui des normes, des méthodes et concepts utilisés au plan international en matière statistique.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	0	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	0	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	1	1	0	0	1	Other; Mentioned on the website  http://www.statistics-suriname.org/index.php/stichting-abs/historie-en-juridisch-kader
Q00.4	How UNFPOS are communicated to raise awareness at the national level	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	1	0	0	0	0	The Thailand National Statistical Office (TNSO) has instructed and distributed Thai publication of the Fundamental Principles of Official Statistics regularly to other government agencies, stakeholders within the national statistical system and to interested people for developing official statistics according to Fundamental Principles.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	0	1	0	0	0	UNFPOS are partially integrated in the law of 1999 but with the new project of law itis fully integrated
Q00.4	How UNFPOS are communicated to raise awareness at the national level	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	1	0	0	0	0	Principles of activity of Ukraine's state statistics bodies Policy for disseminating statistical information by the state statistics bodiesSSSU policy in the sphere of cooperation with respondents and suppliers of administrative data Quality policy in the state statistics bodies
Q00.4	How UNFPOS are communicated to raise awareness at the national level	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	0	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	1	1	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	0	0	0	0	0	Alot of the concepts follow our "best practices" applications, which is agency-specific.
Q00.4	How UNFPOS are communicated to raise awareness at the national level	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	1	0	0	0	0	
Q00.4	How UNFPOS are communicated to raise awareness at the national level	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	1	1	0	0	0	During presentation and discussions reference is always made to the UNFPoS
