QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	0	0	0	1	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	0	0	0	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	0	0	1	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	0	0	0	1	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	0	1	0	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	1	1	1	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	1	1	1	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	1	1	1	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	0	1	0	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	1	0	0	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	1	1	1	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	213	150	Europe	155	Western Europe			France	250	FRA				Developed	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	1	1	0	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	0	0	0	1	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	1	1	1	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	0	0	0	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	1	1	1	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	0	0	0	0	1
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	1	0	0	0	0
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	0	1	0	0	0
