QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	At the beginning of 2013, Statistics Lithuania introduced the society with the Official Statistics Portal. The purpose of the Official Statistics Portal is to afford an opportunity for users to easily find all official statistical information prepared by the country's producers of official statistics in one place and to use it handily, expand the possibilities of indicator analysis and representation. Statistics Lithuania administers the Official Statistics Portal, where users can find statistical information in various forms, order statistical information, publications. Link to the Portal: https://osp.stat.gov.lt/pradinis
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	At the statistical portal (https://statistiques.public.lu/) the different members of the NSS publish their data and statistical studies.
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	data.gov.my (Malaysia Open Data platform)
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	NSO collects the data from the producers of official statistics and posts them on the portal
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	The portal of NSO is ready to publish statistical products from other national producers of official statistics.
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	we provide login credential to manage there data in the portal
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	
