QuestionID	QuestionText	BlockID	BlockText	Answer	N	Percentage
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	More than 300 business trips are organized each year (and the number is increasing- 386 in 2017). Moreover, Statistics Poland hosts incoming delegations (around 30 a year). We have not yet entered yet into twinning projects. Visits within TAIEX as well as bilateral cooperation within Polish Aid programme were undertaken.		
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	Study visits to NSOs		
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	Through the statistical certification system, external evaluations are promoted among peers and other United Nations agencies.		
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	hosting many international events like UN World Data Forum		
Q10.1	Types of international cooperation activities the NSS engages in	R06	Peer reviews and/or external evaluations	participation in different international projects		
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other		87	94
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	0		
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	1		
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	Bileteral co-operation with different countries (Memorandum of Understanding)	1	1
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	More than 300 business trips are organized each year (and the number is increasing- 386 in 2017). Moreover, Statistics Poland hosts incoming delegations (around 30 a year). We have not yet entered yet into twinning projects. Visits within TAIEX as well as bilateral cooperation within Polish Aid programme were undertaken.	1	1
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	Study visits to NSOs	1	1
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	Through the statistical certification system, external evaluations are promoted among peers and other United Nations agencies.	1	1
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	hosting many international events like UN World Data Forum	1	1
Q10.1	Types of international cooperation activities the NSS engages in	R07	Other	participation in different international projects	1	1
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above			
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	0	93	100
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	1		
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	Bileteral co-operation with different countries (Memorandum of Understanding)		
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	More than 300 business trips are organized each year (and the number is increasing- 386 in 2017). Moreover, Statistics Poland hosts incoming delegations (around 30 a year). We have not yet entered yet into twinning projects. Visits within TAIEX as well as bilateral cooperation within Polish Aid programme were undertaken.		
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	Study visits to NSOs		
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	Through the statistical certification system, external evaluations are promoted among peers and other United Nations agencies.		
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	hosting many international events like UN World Data Forum		
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	participation in different international projects		
