QuestionID	QuestionText	BlockID	BlockText	Answer	RegionName	N	Percentage
Q00.2	Awareness of existence UNFPOS	R01	NSO / Chief Statistician	Yes	Europe	35	37.63
Q00.2	Awareness of existence UNFPOS	R01	NSO / Chief Statistician	Yes	Africa	17	18.28
Q00.2	Awareness of existence UNFPOS	R01	NSO / Chief Statistician	Yes	Americas	13	13.98
Q00.2	Awareness of existence UNFPOS	R01	NSO / Chief Statistician	Yes	Oceania	4	4.3
Q00.2	Awareness of existence UNFPOS	R01	NSO / Chief Statistician	Yes	Asia	24	25.81
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	Yes	Europe	27	29.03
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	Yes	Africa	13	13.98
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	N/A	Americas	2	2.15
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	Yes	Oceania	3	3.23
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	No	Americas	4	4.3
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	No	Asia	2	2.15
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	Yes	Asia	19	20.43
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	Yes	Americas	7	7.53
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	N/A	Europe	6	6.45
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	N/A	Africa	2	2.15
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	N/A	Asia	3	3.23
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	No	Europe	2	2.15
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	No	Oceania	1	1.08
Q00.2	Awareness of existence UNFPOS	R02	Heads/Senior managers of other agencies of NSS	No	Africa	2	2.15
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	N/A	Europe	13	13.98
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	Yes	Africa	12	12.9
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	N/A	Americas	4	4.3
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	Yes	Oceania	2	2.15
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	Yes	Europe	15	16.13
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	Yes	Americas	6	6.45
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	N/A	Asia	6	6.45
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	Yes	Asia	18	19.35
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	No	Europe	7	7.53
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	No	Americas	3	3.23
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	No	Africa	2	2.15
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	N/A	Africa	3	3.23
Q00.2	Awareness of existence UNFPOS	R03	Line ministry / Department to which NSO reports	N/A	Oceania	2	2.15
