QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	ArmStatBank at https://www.armstat.am/en/?nid=13, Armenia SDGs indicators at https://www.armstat.am/en/?nid=655	CZSO provides special applications (Public Database, External Trade, National Accounts) to use by users	IMF Open Data Platform	LankaSis	Mexico open data portal (datos.gob.mx)	NATIONAL SUMMERY PAGE	National Data Portal	National Open Data portal accessible at: https://data.govmu.org/dkan/	National web page (NSDP) on eGDDS	Open Data Portal	Open data - data.public.lu (La plate-forme de données luxembourgeoise); www.grande-region.lu	Oracle databases in-house developed	PC-Axis	PX-Web	PX-web	PxWeb for statistical database	REDATAM for census	ReDATAM	Redatam	STATcube - Statistics Austrias Database	SingStat Mobile Application	StatBank (http://www.statistica.md/pageview.php?l=ro&idc=407) GenderPulse (http://genderpulse.md/?utm_source=Statistica&utm_medium=banner&utm_campaign=main_page),  Census platform (http://recensamant.statistica.md/)	The NSA App as the custom-developed data platform	agency websites	data.gov.my (Malaysia Open Data portal) and IMF (Subscribe with SDDS)	gov. data (German Data Platform)	https://www.data.gouv.fr/, https://www.insee.fr/	own website	the following systems are used to share the data with international organizations: Integrated Correspondence System (ICS) for IMF, FTP for UN.	NA
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R09	US/UK open source SDGs National Reporting Platform	Oceania	4.3																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R10	Prognoz (Open Data Portal) & Knoema	Africa	11.83	6.45																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R10	Prognoz (Open Data Portal) & Knoema	Americas	13.98																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R10	Prognoz (Open Data Portal) & Knoema	Asia	23.66	2.15																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R10	Prognoz (Open Data Portal) & Knoema	Europe	37.63																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R10	Prognoz (Open Data Portal) & Knoema	Oceania	4.3																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R11	Custom-developed data platform	Africa	9.68	8.6																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R11	Custom-developed data platform	Americas	6.45	7.53																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R11	Custom-developed data platform	Asia	11.83	13.98																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R11	Custom-developed data platform	Europe	25.81	11.83																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R11	Custom-developed data platform	Oceania	2.15	2.15																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R12	Other	Africa	9.68	8.6																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R12	Other	Americas	7.53	6.45																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R12	Other	Asia	10.75	15.05																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R12	Other	Europe	15.05	22.58																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R12	Other	Oceania	1.08	3.23																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R13	None Of The Above	Africa	18.28																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R13	None Of The Above	Americas	13.98																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R13	None Of The Above	Asia	22.58	3.23																														
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R13	None Of The Above	Europe	37.63																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R13	None Of The Above	Oceania	4.3																															
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R14	Other (detail)	Africa					1.08					1.08															1.08							15.05
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R14	Other (detail)	Americas							1.08												1.08		1.08					1.08						9.68
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R14	Other (detail)	Asia			1.08			1.08		1.08	1.08							1.08							1.08				1.08					18.28
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R14	Other (detail)	Europe				1.08							1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08				1.08		1.08				1.08	1.08	1.08	1.08	21.51
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	R14	Other (detail)	Oceania																				1.08												3.23
