QuestionID	QuestionText	BlockID	BlockText	Answer	N	Percentage
Q01.4b	Time span of the calendar	R01			17	18
Q01.4b	Time span of the calendar	R01		1-12 months	1	1
Q01.4b	Time span of the calendar	R01		1-3 months	3	3
Q01.4b	Time span of the calendar	R01		13-24 months	8	9
Q01.4b	Time span of the calendar	R01		4-12 months	57	61
Q01.4b	Time span of the calendar	R01		6-18 months	1	1
Q01.4b	Time span of the calendar	R01		Annual	1	1
Q01.4b	Time span of the calendar	R01		Anual	1	1
Q01.4b	Time span of the calendar	R01		More than 2 years	4	4
