QuestionID	QuestionText	BlockID	BlockText	Answer	RegionName	N	Percentage
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)		Oceania	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)		Asia	22	23.66
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)	Through the statistical certification system, external evaluations are promoted among peers and other United Nations agencies.	Americas	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)	Bileteral co-operation with different countries (Memorandum of Understanding)	Europe	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)	More than 300 business trips are organized each year (and the number is increasing- 386 in 2017). Moreover, Statistics Poland hosts incoming delegations (around 30 a year). We have not yet entered yet into twinning projects. Visits within TAIEX as well as bilateral cooperation within Polish Aid programme were undertaken.	Europe	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)	Study visits to NSOs	Asia	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)	participation in different international projects	Europe	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R09	Other (detail)	hosting many international events like UN World Data Forum	Asia	1	1.08
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	0	Europe	35	37.63
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	0	Africa	17	18.28
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	0	Americas	13	13.98
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	0	Oceania	4	4.3
Q10.1	Types of international cooperation activities the NSS engages in	R08	None Of The Above	0	Asia	24	25.81
