QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	0	1	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	0	0	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	0	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	0	1	0	0	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	0	0	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	0	1	0	0	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	1	1	1	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	0	0	1	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	0	1	0	0	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	0	1	0	0	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	0	1	0	1	1	0	0	Emails, verbal or written comments  from users
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	0	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	0	0	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	1	1	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	0	0	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	0	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	0	0	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	0	0	0	0	0	0	0	We do not have feedback methods  yet.
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	213	150	Europe	155	Western Europe			France	250	FRA				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	1	0	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	1	1	1	1	1	0	0	Workshp with data journalists
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	1	1	0	0	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	0	0	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	0	0	1	0	1	0	0	INFORMATION REQUESTS
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	1	1	0	1	1	0	0	gathering feedback from users requesting statistical information
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	1	1	1	0	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	1	1	1	0	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	0	1	1	0	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	0	1	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	0	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	0	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	1	1	0	0	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	0	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	0	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	0	1	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	1	0	0	1	0	0	0	Hotline, social network
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	0	0	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	1	1	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	1	1	0	1	1	0	0	Independent reviews purchased by Statistics Norway
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	0	0	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	0	1	1	1	0	0	0	Social media
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	0	1	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	1	0	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	0	1	0	1	0	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	1	1	0	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	1	1	1	1	1	0	0	
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	1	1	1	1	1	0	0	
